

Turma: 1º AME,18:15,19:00,19:45,20:45,21:30,
Segunda,Professor 8 - Matéria: H,Professor 3 - Matéria: C,Professor 2 - Matéria: B,Professor 9 - Matéria: I,
Terça,Professor 9 - Matéria: I,Professor 4 - Matéria: D,Professor 2 - Matéria: B,Professor 4 - Matéria: D,
Quarta,Professor 4 - Matéria: D,Professor 10 - Matéria: J,Professor 11 - Matéria: K,Professor 12 - Matéria: L,
Quinta,Professor 1 - Matéria: A,Professor 1 - Matéria: A,Professor 16 - Matéria: E,Professor 7 - Matéria: G,
Sexta,Professor 7 - Matéria: G,Professor 5 - Matéria: F,Professor 5 - Matéria: F,Professor 5 - Matéria: F,

Turma: 3º AME,18:15,19:00,19:45,20:45,21:30,
Segunda,Professor 9 - Matéria: I,Professor 9 - Matéria: I,Professor 8 - Matéria: H,Professor 8 - Matéria: H,
Terça,Professor 2 - Matéria: C,Professor 2 - Matéria: C,Professor 13 - Matéria: D,Professor 13 - Matéria: D,
Quarta,Professor 18 - Matéria: G,Professor 18 - Matéria: G,Professor 18 - Matéria: G,Professor 14 - Matéria: J,
Quinta,Professor 3 - Matéria: A,Professor 4 - Matéria: B,Professor 4 - Matéria: B,Professor 4 - Matéria: B,Professor 12 - Matéria: K,
Sexta,Professor 10 - Matéria: L,Professor 11 - Matéria: M,Professor 17 - Matéria: E,Professor 6 - Matéria: F,

Turma: 2º PMB,18:15,19:00,19:45,20:45,21:30,
Segunda,Professor 18 - Matéria: J,Professor 18 - Matéria: J,Professor 9 - Matéria: E,Professor 13 - Matéria: C,
Terça,Professor 8 - Matéria: K,Professor 8 - Matéria: K,Professor 14 - Matéria: G,Professor 15 - Matéria: H,
Quarta,Professor 13 - Matéria: C,Professor 14 - Matéria: G,Professor 15 - Matéria: H,Professor 15 - Matéria: H,
Quinta,Professor 3 - Matéria: B,Professor 11 - Matéria: I,Professor 10 - Matéria: L,Professor 20 - Matéria: D,
Sexta,Professor 19 - Matéria: A,Professor 12 - Matéria: M,Professor 19 - Matéria: A,Professor 21 - Matéria: F,

Turma: 3º PMA,18:15,19:00,19:45,20:45,21:30,
Segunda,Professor 13 - Matéria: B,Professor 8 - Matéria: I,Professor 18 - Matéria: L,Professor 18 - Matéria: L,
Terça,Professor 13 - Matéria: B,Professor 9 - Matéria: H,Professor 9 - Matéria: H,Professor 2 - Matéria: A,
Quarta,Professor 3 - Matéria: D,Professor 2 - Matéria: A,Professor 14 - Matéria: F,Professor 11 - Matéria: K,
Quinta,Professor 14 - Matéria: F,Professor 10 - Matéria: J,Professor 17 - Matéria: G,Professor 15 - Matéria: E,
Sexta,Professor 12 - Matéria: N,Professor 15 - Matéria: E,Professor 15 - Matéria: E,Professor 20 - Matéria: C,
